rental_id;rental_date;return_date;first_name;last_name;email
2;24-05-2005 22:54;28-05-2005 19:40;Tommy;Collazo;tommy.collazo@sakilacustomer.org
3;24-05-2005 23:03;01-06-2005 22:12;Manuel;Murrell;manuel.murrell@sakilacustomer.org
4;24-05-2005 23:04;03-06-2005 1:43;Andrew;Purdy;andrew.purdy@sakilacustomer.org
5;24-05-2005 23:05;02-06-2005 4:33;Delores;Hansen;delores.hansen@sakilacustomer.org
6;24-05-2005 23:08;27-05-2005 1:32;Nelson;Christenson;nelson.christenson@sakilacustomer.org
7;24-05-2005 23:11;29-05-2005 20:34;Cassandra;Walters;cassandra.walters@sakilacustomer.org
8;24-05-2005 23:31;27-05-2005 23:33;Minnie;Romero;minnie.romero@sakilacustomer.org
9;25-05-2005 0:00;28-05-2005 0:22;Ellen;Simpson;ellen.simpson@sakilacustomer.org
10;25-05-2005 0:02;31-05-2005 22:44;Danny;Isom;danny.isom@sakilacustomer.org
11;25-05-2005 0:09;02-06-2005 20:56;April;Burns;april.burns@sakilacustomer.org
12;25-05-2005 0:19;30-05-2005 5:44;Deanna;Byrd;deanna.byrd@sakilacustomer.org
13;25-05-2005 0:22;30-05-2005 4:28;Raymond;Mcwhorter;raymond.mcwhorter@sakilacustomer.org
14;25-05-2005 0:31;26-05-2005 2:56;Theodore;Culp;theodore.culp@sakilacustomer.org
15;25-05-2005 0:39;03-06-2005 3:30;Ronald;Weiner;ronald.weiner@sakilacustomer.org
16;25-05-2005 0:43;26-05-2005 4:42;Steven;Curley;steven.curley@sakilacustomer.org
17;25-05-2005 1:06;27-05-2005 0:43;Isaac;Oglesby;isaac.oglesby@sakilacustomer.org
18;25-05-2005 1:10;31-05-2005 6:35;Ruth;Martinez;ruth.martinez@sakilacustomer.org
19;25-05-2005 1:17;31-05-2005 6:00;Ronnie;Ricketts;ronnie.ricketts@sakilacustomer.org
20;25-05-2005 1:48;27-05-2005 2:20;Roberta;Harper;roberta.harper@sakilacustomer.org
